SL,title,company,location,salary,summary
871,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
872,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
873,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
874,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
875,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
876,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
877,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
878,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
879,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
880,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
881,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
882,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
883,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
884,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
885,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
886,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
887,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
888,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
889,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
890,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
891,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
892,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
893,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
894,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
895,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
896,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
897,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
898,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
899,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
900,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
901,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
902,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
903,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
